"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Denmark,"3,101,027",,6993,,3085981,,8053,,531258,1198,128306100,21980991,5837139,Europe,2,835,0
Sweden,"2,578,521",,20069,,2538857,1384,19595,12,251857,1960,18916006,1847624,10238019,Europe,4,510,1
Iraq,"2,458,509",,25348,,2431657,,1504,21,58242,600,19239264,455777,42211987,Asia,17,1665,2
Serbia,"2,330,341",,16865,,2258810,,54666,23,269096,1947,10872818,1255540,8659874,Europe,4,513,1
Hungary,"2,070,443",,47409,,1988759,,34275,10,215529,4935,11394556,1186151,9606331,Europe,5,203,1
Bangladesh,"2,016,946",,29339,,1960047,,27560,1331,11984,174,14816578,88034,168305100,Asia,83,5737,11
Singapore,"1,871,900",,1605,,1792984,,77311,8,314514,270,24345019,4090412,5951728,Asia,3,3708,0
Slovakia,"1,838,466",,20429,,1814362,,3675,22,336379,3738,7283308,1332605,5465467,Europe,3,268,1
Georgia,"1,762,206",,16900,,1637293,,108013,,443623,4254,16920079,4259514,3972303,Asia,2,235,0
New Zealand,"1,762,125",,2882,,1749317,,9926,,352277,576,7517357,1502840,5002100,Australia/Oceania,3,1736,1
Jordan,"1,742,256",,14114,,1725175,,2967,76,167101,1354,17170645,1646851,10426347,Asia,6,739,1
Hong Kong,"1,691,895",,9852,,1392444,,289599,14,221713,1291,54352132,7122537,7631007,Asia,5,775,0
Ireland,"1,660,635",,7862,,1645639,,7134,13,328232,1554,12677112,2505686,5059338,Europe,3,644,0
